Spindle_Speed_RPM,Feed_mm_per_rev,Depth_of_Cut_mm,Vibration_m_s2,Cutting_Force_N,Temperature_C,Tool_Coating,Tool_Wear_mm
1314,0.103,0.638,3.615,318.42,56.81,TiN,0.235
1289,0.159,0.516,3.802,328.43,57.89,TiAlN,0.231
1758,0.142,0.725,4.09,365.37,60.95,DLC,0.247
1632,0.134,0.578,4.213,320.02,54.27,Uncoated,0.21
1401,0.16,0.904,4.774,387.93,66,TiAlN,0.302
1765,0.129,0.814,4.484,345.35,58.1,TiN,0.253
1433,0.177,0.993,5.119,425.42,64.8,DLC,0.333
1573,0.116,0.678,4.047,331.5,58.23,TiAlN,0.218
1375,0.153,0.622,4.134,337.84,61.06,Uncoated,0.254
1424,0.148,0.921,4.891,410.11,61.09,TiN,0.308
1502,0.12,0.54,3.9,312.6,55.2,TiAlN,0.22
1688,0.165,0.86,4.95,405.4,67.2,DLC,0.325
1320,0.11,0.61,3.72,319.1,56.4,TiN,0.228
1455,0.172,0.975,5.21,430.6,68,Uncoated,0.34
1604,0.138,0.72,4.22,350.9,60.1,TiAlN,0.25
1710,0.15,0.83,4.48,372.3,63.2,DLC,0.27
1388,0.125,0.58,3.86,325.8,57.1,TiN,0.235
1550,0.14,0.69,4.05,340.2,59.4,TiAlN,0.245
1475,0.168,0.91,4.98,395.6,65.8,Uncoated,0.31
1662,0.132,0.76,4.31,360.1,61.7,DLC,0.26
1298,0.105,0.52,3.61,305.4,55,TiN,0.21
1735,0.175,0.995,5.32,445.8,69.1,Uncoated,0.35
1490,0.118,0.64,3.94,330.2,58.3,TiAlN,0.235
1588,0.155,0.8,4.62,385.5,63.9,DLC,0.285
1355,0.112,0.56,3.78,315,56.6,TiN,0.225
1620,0.145,0.75,4.35,360.7,62.1,TiAlN,0.26
1702,0.16,0.88,4.87,398.9,66.5,DLC,0.305
1408,0.13,0.6,3.92,328.6,58,TiN,0.24
1522,0.17,0.94,5.05,415.3,67,Uncoated,0.32
1675,0.135,0.78,4.4,365.9,63,TiAlN,0.27
1310,0.108,0.53,3.65,310.2,55.4,TiN,0.215
1770,0.178,0.99,5.38,448.1,69.5,Uncoated,0.345
1460,0.122,0.67,4.02,335.1,59,TiAlN,0.245
1595,0.15,0.82,4.7,390.4,64.2,DLC,0.295
1380,0.115,0.59,3.88,320.8,57.2,TiN,0.23
1655,0.142,0.76,4.32,362.4,62.6,TiAlN,0.265
1725,0.168,0.91,5,420.7,67.8,DLC,0.315
1420,0.128,0.61,3.95,330.5,58.4,TiN,0.24
1540,0.16,0.85,4.78,400.2,65.1,Uncoated,0.305
1680,0.138,0.79,4.46,372.6,63.5,TiAlN,0.275
1305,0.106,0.54,3.68,312.9,55.6,TiN,0.22
1768,0.176,0.985,5.35,442.3,69,Uncoated,0.348
1472,0.124,0.66,4,332.1,58.8,TiAlN,0.248
1580,0.152,0.81,4.66,388.2,64,DLC,0.29
1390,0.118,0.6,3.91,325.4,57.6,TiN,0.235
1645,0.14,0.77,4.38,368.1,62.8,TiAlN,0.268
1718,0.165,0.9,4.95,415.6,67.4,DLC,0.312
1435,0.13,0.62,3.97,334.2,58.7,TiN,0.242
1530,0.158,0.84,4.74,396.5,64.9,Uncoated,0.3
1670,0.136,0.78,4.42,370.8,63.3,TiAlN,0.272
1325,0.11,0.55,3.72,316.4,56.2,TiN,0.225
1755,0.174,0.97,5.28,438.7,68.7,Uncoated,0.342
1485,0.126,0.69,4.05,338.9,59.3,TiAlN,0.25
1600,0.148,0.82,4.69,392.7,64.4,DLC,0.298
1370,0.12,0.61,3.94,329.1,58.1,TiN,0.238
1635,0.142,0.76,4.36,364.8,62.5,TiAlN,0.266
1708,0.168,0.91,5.01,418.3,67.2,DLC,0.31
1440,0.132,0.64,4,336.5,58.9,TiN,0.245
1555,0.16,0.86,4.8,402.6,65.3,Uncoated,0.305
1685,0.138,0.79,4.47,374.1,63.7,TiAlN,0.278
1335,0.112,0.56,3.76,318,56.5,TiN,0.228
1772,0.178,0.995,5.39,449.5,69.6,Uncoated,0.35
1495,0.128,0.7,4.08,341.2,59.6,TiAlN,0.255
1615,0.15,0.83,4.72,395.8,64.6,DLC,0.3
1385,0.122,0.62,3.96,331.6,58.3,TiN,0.24
1640,0.144,0.77,4.4,366.9,62.9,TiAlN,0.27
1720,0.17,0.92,5.02,420.9,67.9,DLC,0.318
1450,0.134,0.65,4.02,338,59.1,TiN,0.248
1560,0.162,0.88,4.82,405.3,65.6,Uncoated,0.308
1690,0.14,0.8,4.5,376.2,64,TiAlN,0.282
1340,0.114,0.57,3.8,320.5,56.8,TiN,0.23
1760,0.176,0.985,5.33,444,69.2,Uncoated,0.347
1505,0.13,0.71,4.1,343.5,60,TiAlN,0.258
1625,0.152,0.84,4.75,398.4,65,DLC,0.302
1395,0.124,0.63,3.98,333.8,58.5,TiN,0.242
1650,0.146,0.78,4.42,369.5,63.1,TiAlN,0.272
1730,0.172,0.93,5.06,422.5,68.2,DLC,0.32
1465,0.136,0.66,4.04,340.6,59.4,TiN,0.25
1570,0.164,0.89,4.84,408.1,66,Uncoated,0.312
1695,0.142,0.81,4.53,378.3,64.4,TiAlN,0.285
1350,0.116,0.58,3.82,322.7,57,TiN,0.232
1752,0.174,0.97,5.29,439.6,68.8,Uncoated,0.344
1515,0.132,0.72,4.12,345.9,60.2,TiAlN,0.26
1630,0.154,0.85,4.78,400.8,65.2,DLC,0.305
1400,0.126,0.64,4,335.9,58.7,TiN,0.245
1660,0.148,0.79,4.45,372.8,63.4,TiAlN,0.275
1740,0.176,0.94,5.12,428.4,68.5,DLC,0.325
1470,0.138,0.67,4.06,342.3,59.7,TiN,0.252
1585,0.166,0.9,4.88,410.9,66.3,Uncoated,0.318
1700,0.144,0.82,4.56,380.6,64.7,TiAlN,0.288
1360,0.118,0.59,3.86,324.4,57.4,TiN,0.235
